beer,brewery,style,status
Great Lakes Brewery Pompous Ass,Great Lakes Brewery (Canada),Pale Ale - English,regular
Bellwoods White Picket Fence Foeder Blended Saison,Bellwoods Brewery,Saison / Farmhouse / Grisette,special seasonal
Beau's The Bottle Imp,Beau's Brewing Co. / Halcyon Barrel House,Stout - Imperial Flavored / Pastry,regular
Nickel Brook Uber (Raspberry),Nickel Brook Brewing Co.,Berliner Weisse - Flavored / Catharina Sour,regular
Bellwoods Grandma's Boy (2016 - ),Bellwoods Brewery,Sour / Wild Beer - Flavored,special seasonal
Church-Key Holy Smoke,Church-Key Brewing Company,Smoked - Rauchbier,regular
Flying Monkeys Live Transmission ,Flying Monkeys Craft Brewery,IPA - Milkshake / Smoothie,regular
Hockley Valley Hockley Dark,Hockley Valley Brewing Co.,Brown Ale,regular
Flying Monkeys The Matador Version 2.0 El Toro Bravo,Flying Monkeys Craft Brewery,Specialty Grain - Rye / Roggenbier,winter seasonal
Spearhead Hawaiian Style Pale Ale,Spearhead Brewing Company,IPA,regular
Collective Arts Prophets & Nomads,Collective Arts Brewing,Gose,regular
Beau's Wag the Wolf,Beau's Brewing Co. / Halcyon Barrel House,Wheat Ale - India / Hopfenweisse,regular
Flying Monkeys Sparklepuff,Flying Monkeys Craft Brewery,IIPA DIPA - Imperial / Double IPA,regular
Double Trouble Hops & Robbers IPA,Double Trouble Brewing Co. (United Craft),IPA,regular
Mill Street Belgian Wit,Mill Street Brewery (AB InBev),Witbier / Belgian White Ale,summer seasonal
Beau's Farm Table: IPA,Beau's Brewing Co. / Halcyon Barrel House,IPA,regular
Bellwoods Farmageddon (Montmorency Cherry),Bellwoods Brewery,Saison / Farmhouse - Flavored,regular
Beau's Tom Green Beer,Beau's Brewing Co. / Halcyon Barrel House,Stout - Milk / Sweet,regular
Flying Monkeys Paranormal ,Flying Monkeys Craft Brewery,Flavored - Pumpkin / Vegetables,autumn seasonal
Creemore Springs Mad & Noisy India Pale Lager,Creemore Springs Brewery (Six Pints - Molson Coors),Pale Lager - Hoppy / India (IPL),special seasonal
Beyond the Pale Pink Fuzz,Beyond the Pale Brewing Company,Flavored - Fruit,regular
Bellwoods Jelly King (Plum),Bellwoods Brewery,Sour / Wild Beer - Flavored,special seasonal
Left Field Laser Show,Left Field Brewery,IIPA DIPA - Imperial / Double IPA,special seasonal
Collective Arts / Lervig Origin of Darkness,Collective Arts Brewing,Stout - Imperial Flavored / Pastry,regular
Flying Monkeys Acadian Groove,Flying Monkeys Craft Brewery,Porter - Imperial,special seasonal
Sawdust City Golden Beach,Sawdust City Brewing Co.,Pale Ale - American (APA),regular
Labatt Blue Light,Labatt Brewing Company (Labatt - AB InBev),Pale Lager - American,regular
Creemore Springs Kellerbier,Creemore Springs Brewery (Six Pints - Molson Coors),Zwickelbier / Kellerbier / Landbier,regular
Bellwoods Cat Lady,Bellwoods Brewery,IPA,regular
Sawdust City Long Dark Voyage to Uranus,Sawdust City Brewing Co.,Stout - Imperial,winter seasonal
Collective Arts Imperial Porter,Collective Arts Brewing,Porter - Imperial,series seasonal
Beau's Matt's Sleepy Time,Beau's Brewing Co. / Halcyon Barrel House,Stout - Imperial,regular
Bellwoods Goblin Sauce ,Bellwoods Brewery,IIPA DIPA - Imperial / Double IPA,regular
Great Lakes Brewery Pumpkin Ale,Great Lakes Brewery (Canada),Flavored - Pumpkin / Vegetables,autumn seasonal
Black Oak Nutcracker,Black Oak Brewing Co.,Porter - Flavored,winter seasonal
Bellwoods Barn Owl (Blend No. 10),Bellwoods Brewery,IPA - Sour / Wild,series seasonal
Duggan's  9 IPA,Duggan's Brewery,IPA,regular
Big Rig Release the Hounds,Big Rig Brewery,IPA - Black / Brown / Cascadian Dark,regular
Muskoka Cream Ale,Muskoka Brewery,Cream Ale,regular
Black Oak Nut Brown Ale,Black Oak Brewing Co.,Brown Ale,regular
Nickel Brook Wicked Awesome IPA,Nickel Brook Brewing Co.,IPA,regular
Great Lakes Brewery Thrust! ...An IPA - IPA,Great Lakes Brewery (Canada),IPA - Hazy (NEIPA),regular
Labatt 50,Labatt Brewing Company (Labatt - AB InBev),Blonde Ale / Golden Ale,regular
Nickel Brook Maple Porter,Nickel Brook Brewing Co.,Porter - Flavored,spring seasonal
Nickel Brook Le Paysan Saison Farmhouse Ale,Nickel Brook Brewing Co.,Saison / Farmhouse / Grisette,summer seasonal
Beau's Strong Patrick,Beau's Brewing Co. / Halcyon Barrel House,Red Ale - Irish,regular
Mill Street Vanilla Porter,Mill Street Brewery (AB InBev),Porter - Flavored,regular
Muskoka Summerweiss,Muskoka Brewery,Weissbier - Hefeweizen,summer seasonal
Bellwoods Boogie Monster ,Bellwoods Brewery,IIPA DIPA - Imperial / Double IPA,regular
Collective Arts Liquid Art Fest IPA,Collective Arts Brewing,IPA - Milkshake / Smoothie,series seasonal
Left Field Eephus,Left Field Brewery,Brown Ale,regular
Great Lakes Winter Ale,Great Lakes Brewery (Canada),Flavored - Other,winter seasonal
Bellwoods Wizard Wolf Pale Ale,Bellwoods Brewery,Pale Ale - American (APA),regular
