beer,brewery,style,status
Banff Ave Head Smashed IPA,Banff Ave Brewing Company (Bear Hill Brewing),IPA,regular
Alley Kat Sherbrooke KGB Russian Imperial Stout,Alley Kat Brewing Company,Stout - Imperial,special seasonal
Jasper Rock Hopper IPA,Jasper Brewing Company (Bear Hill Brewing),IPA,regular
The Dandy Dandy In the Underworld,The Dandy Brewing Company,Stout - Milk / Sweet,regular
Trial & Ale Writer’s Blanc,Trial & Ale Brewing,Sour / Wild Beer,regular
Blind Enthusiasm Union Bhoys Lager,Blind Enthusiasm,Pale Lager - International / Premium,regular
Village Maiden,Village Brewery (Canada),ISA - Session IPA,summer seasonal
Partake IPA,Partake Brewing (Premium Near Beer),Low / No Alcohol Beer - Pale,regular
Wild Rose Barracks Brown Ale,Wild Rose Brewery (Sleeman - Sapporo),Brown Ale,regular
Brewsters Mad Hops,Brewsters Brewing Company & Restaurant,IIPA DIPA - Imperial / Double IPA,summer seasonal
Torque Red Line IPA,Torque Brewing,IPA - Red,regular
Paddock Wood Czech Mate,Paddock Wood Brewing Co.,Pilsener - Bohemian / Czech,special seasonal
Half Pints Saison De La Ceinture Fléchée,Half Pints Brewing Co.,Saison / Farmhouse / Grisette,special seasonal
Big Rock Barrel-Aged Edition: Bourbon Porter,Big Rock Brewery,Porter - Imperial,series seasonal
Wild Rose Wraspberry Ale,Wild Rose Brewery (Sleeman - Sapporo),Flavored - Fruit,regular
Alley Kat Abbey Kat Belgian Style Quad,Alley Kat Brewing Company,Quadrupel / Abt,special seasonal
Black Bridge Saison Deux Fois La Taille,Black Bridge Brewery (Canada),Saison / Farmhouse / Grisette,special seasonal
Minhas Perfect 10,Minhas Micro Brewery (Minhas Brewery),Malt Liquor,regular
Nokomis Barrel Aged Imperial Stout,Nokomis Craft Ales,Stout - Imperial,special seasonal
Blindman Fortified Barley Wine,Blindman Brewing,Barley Wine / Wheat Wine / Rye Wine,regular
Paddock Wood Double Double,Paddock Wood Brewing Co.,Strong Ale - English,special seasonal
Alley Kat Ein Prosit!,Alley Kat Brewing Company,Märzen / Oktoberfest Bier,autumn seasonal
Village Wit,Village Brewery (Canada),Witbier / Belgian White Ale,regular
Blindman Port Barrel-Aged Barley Wine: Presented Still,Blindman Brewing,Barley Wine / Wheat Wine / Rye Wine,regular
Blindman Dwarf Sour Cherry,Blindman Brewing,Saison / Farmhouse - Flavored,regular
Blindman Kettle Sour # 2 (Galaxy & 06277),Blindman Brewing,Sour / Wild Beer,regular
The Establishment Afternoon Delight,The Establishment Brewing Company,Pale Ale - Hazy / New England,regular
Brewsters Honest Paul IPA,Brewsters Brewing Company & Restaurant,IPA,regular
Blindman Imperial Stout - Four Roses Bourbon Barrel-Aged,Blindman Brewing,Stout - Imperial,regular
Kilter Juicii,Kilter Brewing Co.,IPA - Hazy (NEIPA),regular
Big Rock Pilsner,Big Rock Brewery,Pilsener - Bohemian / Czech,regular
Banff Ave Reverend Rundle Stout,Banff Ave Brewing Company (Bear Hill Brewing),Stout - Dry / Irish,regular
Blindman Barrel-Aged Porter,Blindman Brewing,Porter,special seasonal
Big Rock Abandoned Abbey,Big Rock Brewery,Belgian Ale - Strong Dark,special seasonal
Cabin Super Saturation,Cabin Brewing Company,Pale Ale - Hazy / New England,regular
Big Rock McNally's Extra,Big Rock Brewery,Red Ale - Irish,regular
Troubled Monk Open Road Brown,Troubled Monk,Brown Ale,regular
Rebellion Brett Pale Ale,Rebellion Brewing Co. (Canada),Sour Flemish Ale - Flanders Red / Oud Bruin,regular
Bushwakker Revenge of the Tartan Tzar,Bushwakker Brewing Co.,Stout - Imperial,special seasonal
Alley Kat Aprikat,Alley Kat Brewing Company,Flavored - Fruit,regular
Banff Ave Lower Bankhead Black Pilsner,Banff Ave Brewing Company (Bear Hill Brewing),Schwarzbier / Black Lager,regular
Blindman Ichorous Imperial Stout - Red Wine Barrel,Blindman Brewing,Stout - Imperial,regular
Blindman Ichorous Imperial Stout - Barrel-Aged w/Toasted Coconut,Blindman Brewing,Stout - Imperial,regular
Blindman Kettle Sour # 1 (Galaxy & Mosaic),Blindman Brewing,Sour / Wild Beer,regular
Trial & Ale Separated to a Degree,Trial & Ale Brewing,Sour / Wild Beer,regular
Wild Rose Cherry Porter,Wild Rose Brewery (Sleeman - Sapporo),Porter - Flavored,winter seasonal
Brewsters Hammerhead Red Ale,Brewsters Brewing Company & Restaurant,Red Ale / International Amber Ale,regular
The Dandy Dead Moon Night,The Dandy Brewing Company,Stout - Imperial,regular
Brewsters Brewfoot Blueberry Ale,Brewsters Brewing Company & Restaurant,Flavored - Fruit,regular
Situation Declan's Irish Stout,Situation Brewing,Stout - Dry / Irish,regular
Fort Garry Pale Ale,Fort Garry Brewing,Pale Ale - English,regular
Partake Pale Ale,Partake Brewing (Premium Near Beer),Low / No Alcohol Beer - Pale,regular
Paddock Wood 1000 Monkeys Imperial Stout,Paddock Wood Brewing Co.,Stout - Imperial,special seasonal
Alley Kat Dragon Series Rainbow Dragon Double IPA ,Alley Kat Brewing Company,IIPA DIPA - Imperial / Double IPA,special seasonal
Jasper The Bear Ale,Jasper Brewing Company (Bear Hill Brewing),Witbier / Belgian White Ale,regular
Jasper Crisp Pils,Jasper Brewing Company (Bear Hill Brewing),Pilsener / Pils / Pilsner,special seasonal
The Establishment Sky Rocket IV,The Establishment Brewing Company,IPA - Hazy (NEIPA),regular
Annex Ale Project Forward Progress,Annex Ale Project,Pale Ale - American (APA),regular
Last Best Show Pony Pale,Last Best Brewing & Distilling (Bear Hill Brewing),Pale Ale - Australian / New Zealand,regular
Alley Kat Dragon Series Blue Dragon Double IPA,Alley Kat Brewing Company,IIPA DIPA - Imperial / Double IPA,series seasonal
Trial & Ale / Omen A Study of Lactic Acid Bacterial Flavour Expression As Seen Through Historical Beer Styles; a.k.a. the Transformative Properties of Wild Fermentations On Oak,Trial & Ale Brewing,Sour / Wild Beer - Dark,regular
Trial & Ale Robert,Trial & Ale Brewing,Sour / Wild Beer - Flavored,regular
Half Pints Le Temps Noir Batch Three (2019),Half Pints Brewing Co.,Stout - Imperial,regular
Barn Hammer Le Sneak Belgique,Barn Hammer Brewing Company,Witbier / Belgian White Ale,regular
Situation Imperial Sex Palace Stout,Situation Brewing,Stout - Imperial,special seasonal
Tool Shed Flat Cap Stout,Tool Shed Brewing Company,Stout,regular
Wild Rose Ponderosa Gose (Passionfruit),Wild Rose Brewery (Sleeman - Sapporo),Gose - Flavored,summer seasonal
Alley Kat Dragon Series Red Dragon Double IPA,Alley Kat Brewing Company,IIPA DIPA - Imperial / Double IPA,series seasonal
Partake Dark,Partake Brewing (Premium Near Beer),Low / No Alcohol Beer - Dark,regular
Blindman Imperial Stout - Elijah Craig Bourbon Barrel-Aged,Blindman Brewing,Stout - Imperial,regular
Alley Kat Bad Hare Day,Alley Kat Brewing Company,IIPA DIPA - Imperial / Double IPA,spring seasonal
Blindman 24-2,Blindman Brewing,Strong Ale - English,regular
Hell's Basement The Yard Pineapple Milkshake IPA,Hell's Basement Brewery,IPA - Milkshake / Smoothie,regular
Wild Rose Big DIPA,Wild Rose Brewery (Sleeman - Sapporo),IIPA DIPA - Imperial / Double IPA,autumn seasonal
Situation Pickled Padre Barley Wine,Situation Brewing,Barley Wine / Wheat Wine / Rye Wine,special seasonal
Blindman Imperial Stout - Knob Creek Bourbon Barrel-Aged,Blindman Brewing,Stout - Imperial,regular
Grizzly Paw Beavertail Raspberry Ale,The Grizzly Paw Brewing Company,Flavored - Fruit,regular
Blindman Brett Saison,Blindman Brewing,Saison / Farmhouse / Grisette,regular
Grizzly Paw Rundlestone Session Ale,The Grizzly Paw Brewing Company,Blonde Ale / Golden Ale,spring seasonal
Brewsters Curly Horse IPA,Brewsters Brewing Company & Restaurant,IPA,regular
Big Rock Winter Spice Ale,Big Rock Brewery,Flavored - Other,special seasonal
Wild Rose Rare Farmhouse White,Wild Rose Brewery (Sleeman - Sapporo),Saison / Farmhouse / Grisette,special seasonal
Cold Garden The All Nighter Vanilla Cappuccino Porter,Cold Garden Beverage Company,Porter - Flavored,regular
Torque The Witty Belgian,Torque Brewing,Witbier / Belgian White Ale,regular
Railyard Nitro Stout,Railyard Brewing,Stout,regular
