beer,brewery,style,status
Unibroue U Rousse,Unibroue (Sleeman - Sapporo),Amber Lager - International / Vienna,regular
Dieu du Ciel! Immoralité DDH Cryo,Brasserie Dieu du Ciel!,IIPA DIPA - Imperial / Double IPA,regular
Dieu du Ciel! Résurrection,Brasserie Dieu du Ciel!,Porter,regular
Dunham Hermann Pils,Brasserie Dunham,Pilsener / Pils / Pilsner,regular
Dunham Supermoine 2 Zonder Goblins,Brasserie Dunham,Stout - Imperial Flavored / Pastry,special seasonal
Auval Saison DuVal,Brasserie Auval Brewing Co.,Saison / Farmhouse / Grisette,regular
Le Bilboquet L'Archange,Le Bilboquet - Microbrasserie / Brasserie Olten,Weissbier - Hefeweizen,regular
Brasseur de Montréal Chi,Brasseur de Montréal (Six Pints - Molson Coors),Witbier / Belgian White Ale,regular
À La Fût Sir Wallace,À La Fût - Microbrasserie (Canada),Scotch Ale / Wee Heavy,autumn seasonal
Tête d'Allumette La Pioche,Tête d'Allumette - Microbrasserie,Saison / Farmhouse / Grisette,regular
L'Amère à Boire LNH,Brasserie Artisanale L'Amère à Boire,Dark Lager - India / Hoppy,regular
Belle Gueule Houblon IPL,Brasseurs RJ,Pale Lager - Hoppy / India (IPL),regular
Dunham Petite Mort (Whisky),Brasserie Dunham,Stout - Imperial,regular
Ras L'Bock Katyusha (Bourbon),Ras L'Bock - Artisans Brasseurs,Stout - Imperial,regular
Dunham Double Dose (Sauternes),Brasserie Dunham,IPA,special seasonal
Du Lièvre IPA Impériale,Microbrasserie Du Lièvre,IIPA DIPA - Imperial / Double IPA,regular
Dunham Leo's Oolong Double IPA,Brasserie Dunham,IIPA DIPA - Imperial / Double IPA,special seasonal
Dunham Jane Doe - Assemblage Hors-Série  2,Brasserie Dunham,Sour / Wild Beer - Flavored,special seasonal
Glutenberg Rousse / Red,Microbrasserie Glutenberg (Groupe Glutenberg),Red Ale / International Amber Ale,regular
De l'Île d'Orléans Suzanne Marceau,Microbrasserie de l'Île d'Orléans (Haacht),Red Ale / International Amber Ale,regular
Benelux Strato ,Benelux - Brasserie Artisanale / Brasserie du Canal,IPA - Black / Brown / Cascadian Dark,regular
Farnham 12 Hefeweizen,Farnham - Ale & Lager (Canada),Weissbier - Hefeweizen,regular
Schoune La Reb'Ale,Ferme Brasserie Schoune,Belgian Ale - Dark / Amber,regular
Dieu du Ciel! Matière Noire,Brasserie Dieu du Ciel!,Stout - Imperial,regular
Pit Caribou Robust Tennessee,Microbrasserie Pit Caribou,Porter - Imperial,regular
De l'Île d'Orléans Abel Turcault,Microbrasserie de l'Île d'Orléans (Haacht),Scotch Ale / Wee Heavy,regular
Unibroue Autre Chose: IPA à la Pêche,Unibroue (Sleeman - Sapporo),IPA - Flavored,regular
Bas-Canada Hadrien,Brasserie du Bas-Canada,IIPA DIPA - Imperial / Double IPA,regular
Pit Caribou Saison du Bedeau,Microbrasserie Pit Caribou,Saison / Farmhouse - Flavored,regular
Boréale Brume du Nord ,Boréale - Brasseurs du Nord,IPA - Hazy (NEIPA),regular
Glutenberg Double IPA,Microbrasserie Glutenberg (Groupe Glutenberg),Specialty Grain - Other,regular
Vox Populi Vox Stout Café,Microbrasserie Vox Populi (Groupe Glutenberg),Stout - Flavored / Pastry,regular
Belle Gueule Weizenbock,Brasseurs RJ,Weissbier - Weizenbock,special seasonal
Dunham Double Dose,Brasserie Dunham,IPA,summer seasonal
Hopfenstark Framboise,Hopfenstark [Ho.st],Flavored - Fruit,summer seasonal
À La Fût Cowsure ,À La Fût - Microbrasserie (Canada),Sour / Wild Beer,special seasonal
La Chouape Stout Impériale,Brasserie La Chouape Brewing Co.,Stout - Imperial,regular
Dieu du Ciel! Castelnau,Brasserie Dieu du Ciel!,Brown Ale,regular
Pit Caribou / Auval / Sutton Brouërie PAB,Microbrasserie Pit Caribou,Sour / Wild Beer - Flavored,regular
St-Ambroise Porter Impérial (Bourbon),Brasserie McAuslan (Brasseurs RJ),Porter - Imperial,series seasonal
Le Naufrageur La Pénélope Pilsner Tchèque,Microbrasserie Le Naufrageur,Pilsener / Pils / Pilsner,regular
Le Castor Aussieland,Microbrasserie Le Castor Brewing Co.,IPA - Hazy (NEIPA),regular
Le Castor Sanctuaire Brett 2017+ (Vin Rouge),Microbrasserie Le Castor Brewing Co.,Tripel,winter seasonal
Simple Malt Doppelbock,Simple Malt - Brasseurs Illimités,Bock - Doppelbock,regular
À l'Abri de la Tempête Trans IPA,À l'Abri de la Tempête,Pale Lager - Hoppy / India (IPL),regular
Dunham / Browar Widawa Mroczny Pan (Bourbon),Brasserie Dunham,Porter - Baltic,special seasonal
Bas-Canada Espace Libre,Brasserie du Bas-Canada,IPA - Hazy (NEIPA),regular
L'Amère à Boire Éléphant Tmavé,Brasserie Artisanale L'Amère à Boire,Dark Lager - Dunkel / Tmavý,special seasonal
Pit Caribou Berliner Weisse,Microbrasserie Pit Caribou,Berliner Weisse,special seasonal
Du Lac Saint-Jean Gros Mollet Lumber Jack,Microbrasserie Du Lac Saint-Jean,Belgian Ale - Strong Dark,regular
Le Trou du Diable La Bretteuse Brassin Spécial (Zinfandel - Pinot Noir),Le Trou du Diable (Six Pints - Molson Coors),IPA - Sour / Wild,special seasonal
Dunham / L’Ermitage Le Jugement,Brasserie Dunham,Pale Lager - Hoppy / India (IPL),special seasonal
Bas-Canada Mirage,Brasserie du Bas-Canada,IIPA DIPA - Imperial / Double IPA,regular
Bas-Canada Substance,Brasserie du Bas-Canada,Stout - Imperial Flavored / Pastry,regular
Riverbend Impériale Stout ,Riverbend - Microbrasserie,Stout - Imperial,regular
Le Trèfle Noir California,Le Trèfle Noir - Brasserie Artisanale,IPA,regular
L'Amère à Boire Cosaque,Brasserie Artisanale L'Amère à Boire,Porter - Baltic,regular
La Barberie Rousse Bitter,Microbrasserie La Barberie,Bitter - Ordinary / Best,regular
Dunham Stout Impériale Russe (Tokai),Brasserie Dunham,Stout - Imperial,special seasonal
Brasseur de Montréal Préfontaine,Brasseur de Montréal (Six Pints - Molson Coors),Witbier / Belgian White Ale,regular
Boréale Nokturn Black IPA Noire,Boréale - Brasseurs du Nord,IPA - Black / Brown / Cascadian Dark,special seasonal
Boréale Cap Citra,Boréale - Brasseurs du Nord,Saison / Farmhouse / Grisette,series seasonal
Benelux Anniversaire (Sherbrooke) ,Benelux - Brasserie Artisanale / Brasserie du Canal,IIPA DIPA - Imperial / Double IPA,special seasonal
Le Grimoire Goliath,Grimoire - Microbrasserie,Scotch Ale / Wee Heavy,special seasonal
Pit Caribou La Bonne Aventure,Microbrasserie Pit Caribou,Red Ale / International Amber Ale,regular
Dunham Bière de Table,Brasserie Dunham,Belgian Ale - Pale / Golden / Single,summer seasonal
Dunham IPA Anglaise,Brasserie Dunham,IPA - English,regular
Boréale Diamant Brut,Boréale - Brasseurs du Nord,IPA - Brut,regular
3 Brasseurs La Belle Province,3 Brasseurs / 3 Brewers (Canada),Belgian Ale - Dark / Amber,special seasonal
Vox Populi Anna Assemblage,Microbrasserie Vox Populi (Groupe Glutenberg),Tripel,regular
Unibroue Éphémère Sureau / Elderberry,Unibroue (Sleeman - Sapporo),Flavored - Fruit,spring seasonal
Hopfenstark Capitain Swing,Hopfenstark [Ho.st],Barley Wine / Wheat Wine / Rye Wine,special seasonal
Le Castor Kleine Weisse,Microbrasserie Le Castor Brewing Co.,Berliner Weisse,summer seasonal
Pit Caribou Bitter,Microbrasserie Pit Caribou,Bitter - Ordinary / Best,regular
L'Amère à Boire Éléphant 10°,Brasserie Artisanale L'Amère à Boire,Pilsener - Bohemian / Czech,regular
Bedondaine et Bedons Ronds Dernière Brosse,Bedondaine et Bedons Ronds - Brasseur Artisan,Stout - Extra / Foreign / Tropical,regular
Dunham Saison Fleurs Réserve,Brasserie Dunham,Saison / Farmhouse - Flavored,regular
Pit Caribou / Le Castor 30 Cents Black IPA Noire - Nelson Sauvin,Microbrasserie Pit Caribou,IPA - Black / Brown / Cascadian Dark,special seasonal
Dieu du Ciel! Péché Mortel - Cassis Blackcurrant,Brasserie Dieu du Ciel!,Stout - Imperial Flavored / Pastry,regular
À La Fût British,À La Fût - Microbrasserie (Canada),Brown Ale,regular
L'Amère à Boire Vollbier,Brasserie Artisanale L'Amère à Boire,Amber Lager - International / Vienna,regular
Hopfenstark Kluskap O'Kom,Hopfenstark [Ho.st],Flavored - Other,regular
Dieu du Ciel! déCIBeL,Brasserie Dieu du Ciel!,Pale Ale - American (APA),regular
Le Naufrageur Colborne,Microbrasserie Le Naufrageur,Red Ale / International Amber Ale,regular
Dieu du Ciel! Hors Saison,Brasserie Dieu du Ciel!,Saison / Farmhouse / Grisette,regular
Simple Malt Série Limitée - OR,Simple Malt - Brasseurs Illimités,Strong Ale - American,special seasonal
Les Grands Bois Superpause,Les Grands Bois - Microbrasserie,IPA,regular
RJ Tord-Vis,Brasseurs RJ,Belgian Ale - Pale / Golden / Single,winter seasonal
Dieu du Ciel! Rigor Mortis Tripel,Brasserie Dieu du Ciel!,Tripel,regular
Brasseurs du Monde Big Ben Porter,Brasseurs du Monde,Porter,regular
Dunham Saison Framboise (Zinfandel),Brasserie Dunham,Saison / Farmhouse - Flavored,special seasonal
Bas-Canada La Torre,Brasserie du Bas-Canada,Stout - Imperial Flavored / Pastry,regular
Hopfenstark LouLou Porter 1929,Hopfenstark [Ho.st],Porter,regular
Le Trou du Diable Boisson d'Avril,Le Trou du Diable (Six Pints - Molson Coors),Pilsener / Pils / Pilsner,special seasonal
Glutenberg Impérial Sotolon 2014+ (Rhum Brun),Microbrasserie Glutenberg (Groupe Glutenberg),Specialty Grain - Other,spring seasonal
Lagabière La Poudre Jaune,Lagabière - Brasserie Artisanale,Sour / Wild Beer,regular
Brasseurs du Monde L'Assoiffé 10,Brasseurs du Monde,Tripel,special seasonal
Le Castor Roselle,Microbrasserie Le Castor Brewing Co.,Sour / Wild Beer - Flavored,regular
Les 2 Frères Charles Henri Blanche ,Brasserie Les 2 Frères,Witbier / Belgian White Ale,regular
Dunham Petite Mort (Tokaji),Brasserie Dunham,Stout - Imperial,regular
Bas-Canada Standish Hall,Brasserie du Bas-Canada,IPA - Hazy (NEIPA),regular
Bas-Canada Vertige,Brasserie du Bas-Canada,IIPA DIPA - Imperial / Double IPA,regular
Bas-Canada Toxicité,Brasserie du Bas-Canada,Stout - Flavored / Pastry,regular
Beauregard Impériale Extra Bourbon,Beauregard - Brasserie Distillerie,Stout - Imperial,regular
De l'Île d'Orléans Éléonore de Grandmaison,Microbrasserie de l'Île d'Orléans (Haacht),Red Ale / International Amber Ale,regular
La Barberie Blonde au Chardonnay ,Microbrasserie La Barberie,Flavored - Fruit,special seasonal
Le Trèfle Noir Joannès,Le Trèfle Noir - Brasserie Artisanale,Berliner Weisse - Flavored / Catharina Sour,regular
Dunham Grisette de Dunham,Brasserie Dunham,Saison / Farmhouse / Grisette,special seasonal
Dunham LaPatt Porter Robuste (Whisky Canadien),Brasserie Dunham,Porter,regular
Charlevoix Vache Folle Palisade Double IPA,Microbrasserie Charlevoix,IIPA DIPA - Imperial / Double IPA,special seasonal
Shelton Sure aux Framboises,Bièrerie Shelton,Sour / Wild Beer - Flavored,regular
Boréale / Sir John Ursidae,Boréale - Brasseurs du Nord,IIPA DIPA - Imperial / Double Hazy (NEIPA),regular
Benelux Barley Wine,Benelux - Brasserie Artisanale / Brasserie du Canal,Barley Wine / Wheat Wine / Rye Wine,winter seasonal
Matera Réal XX,Matera - Brasseurs Tonneliers,IIPA DIPA - Imperial / Double IPA,regular
Farnham 64 India Pale Ale,Farnham - Ale & Lager (Canada),IPA,regular
Lion d'Or Lion's Pride,Lion d'Or / Golden Lion Pub & Brewery,Brown Ale,regular
Vox Populi Vox Pop IPA - Simcoe,Microbrasserie Vox Populi (Groupe Glutenberg),IPA,regular
Dunham Jane Doe - Assemblage Hors-Série  5,Brasserie Dunham,Sour / Wild Beer - Dark,special seasonal
Boréale Dorée,Boréale - Brasseurs du Nord,Blonde Ale / Golden Ale,regular
Vox Populi Hazel,Microbrasserie Vox Populi (Groupe Glutenberg),Brown Ale,regular
Pit Caribou IIPA de la Sorcière V2,Microbrasserie Pit Caribou,IIPA DIPA - Imperial / Double IPA,special seasonal
Boréale Tête Brûlée,Boréale - Brasseurs du Nord,Stout - Flavored / Pastry,regular
Du Lièvre IPA du Lièvre,Microbrasserie Du Lièvre,IPA,regular
Sutton Brouërie Bobonom,Sutton Brouërie,Pale Ale - American (APA),regular
Le Castor Lutine,Microbrasserie Le Castor Brewing Co.,IIPA DIPA - Imperial / Double Hazy (NEIPA),regular
Albion Chiniquy,Brasserie Artisanale Albion,Mild Ale,regular
Pit Caribou La York ,Microbrasserie Pit Caribou,Saison / Farmhouse - Flavored,regular
Bas-Canada Crime & Châtiment (Bourbon),Brasserie du Bas-Canada,Stout - Imperial,regular
Le Trou du Diable Saison du Tongka,Le Trou du Diable (Six Pints - Molson Coors),Saison / Farmhouse / Grisette,regular
Pit Caribou Carter,Microbrasserie Pit Caribou,Brown Ale - Imperial,special seasonal
Du Lac Saint-Jean Frappabord,Microbrasserie Du Lac Saint-Jean,Barley Wine / Wheat Wine / Rye Wine,regular
Unibroue Megadeth Saison 13,Unibroue (Sleeman - Sapporo),Saison / Farmhouse / Grisette,regular
Dunham / Clos Saragnat Pourquoi Pas,Brasserie Dunham,Sour / Wild Beer - Flavored,special seasonal
Le Trou du Diable 12 Le Nombre Sublime,Le Trou du Diable (Six Pints - Molson Coors),Sour / Wild Beer,special seasonal
Pit Caribou Turlupine - Assemblée,Microbrasserie Pit Caribou,Stout - Imperial,regular
Lion d'Or Stout Irlandaise,Lion d'Or / Golden Lion Pub & Brewery,Stout - Dry / Irish,regular
Dunham Double Cyclope (2017),Brasserie Dunham,IIPA DIPA - Imperial / Double IPA,regular
Pit Caribou Caribou Sure 3,Microbrasserie Pit Caribou,Sour / Wild Beer - Flavored,regular
Le Naufrageur Empress of Ireland,Microbrasserie Le Naufrageur,Porter,regular
Vox Populi Hop Orange,Microbrasserie Vox Populi (Groupe Glutenberg),IPA - Flavored,regular
Dieu du Ciel! 6e Soir (Pinot Noir),Brasserie Dieu du Ciel!,Pilsener - Imperial,special seasonal
Brouhaha Cuvée des  Saveurs ,Broue Pub Brouhaha (Coop MaBrasserie),Belgian Ale - Pale / Golden / Single,regular
Brasseurs Illimités Magouille ,Simple Malt - Brasseurs Illimités,Flavored - Other,autumn seasonal
Avant-Garde Octobre en Avril,Avant-Garde - Artisans Brasseurs (Avant-Garde),Barley Wine / Wheat Wine / Rye Wine,regular
Les 2 Frères Charles Henri Ambrée ,Brasserie Les 2 Frères,Red Ale / International Amber Ale,regular
À La Fût Ma Première Blonde,À La Fût - Microbrasserie (Canada),Pilsener - Bohemian / Czech,regular
Le Naufrageur À La Bourdages,Microbrasserie Le Naufrageur,Flavored - Fruit,special seasonal
RJ LochNess,Brasseurs RJ,Scottish Ale,regular
Dunham Old Ale (Brandy),Brasserie Dunham,Old Ale,special seasonal
Brasseurs Illimités Saison Chaude,Simple Malt - Brasseurs Illimités,Saison / Farmhouse / Grisette,regular
La Chouape Saison des Battages,Brasserie La Chouape Brewing Co.,Saison / Farmhouse / Grisette,regular
Dieu du Ciel! Noce de Soie,Brasserie Dieu du Ciel!,Saison / Farmhouse - Flavored,special seasonal
Pit Caribou Double IPA 2017,Microbrasserie Pit Caribou,IIPA DIPA - Imperial / Double IPA,regular
Nouvelle-France IPA de la Nouvelle-France,Microbrasserie Nouvelle-France,IPA - Hazy (NEIPA),regular
Charlevoix Vache Folle Summit Double IPA,Microbrasserie Charlevoix,IIPA DIPA - Imperial / Double IPA,special seasonal
Bas-Canada Connexion,Brasserie du Bas-Canada,Stout - Imperial Flavored / Pastry,regular
Le Castor Abricot,Microbrasserie Le Castor Brewing Co.,Sour / Wild Beer - Flavored,summer seasonal
Le Trou du Diable Nez de Poivrot,Le Trou du Diable (Six Pints - Molson Coors),Barley Wine / Wheat Wine / Rye Wine,regular
Le Castor Barleywine (Rhum),Microbrasserie Le Castor Brewing Co.,Barley Wine / Wheat Wine / Rye Wine,regular
Le Castor Pilsner,Microbrasserie Le Castor Brewing Co.,Pilsener - Bohemian / Czech,regular
L'Espace Public Bière de Coin d'Rue,L'Espace Public - Brasseurs de Quartier,Sour / Wild Beer,regular
Archibald Belle Mer,Archibald - Microbrasserie (Labatt - AB InBev),IPA,regular
Beauregard Impériale Choco-Noisette (100% Bourbon),Beauregard - Brasserie Distillerie,Stout - Imperial Flavored / Pastry,regular
Messorem Go Ectoplasme Go,Messorem Bracitorium,IIPA DIPA - Imperial / Double Hazy (NEIPA),regular
Hopfenstark Saison Du Repos,Hopfenstark [Ho.st],Saison / Farmhouse / Grisette,regular
RJ Robe Noire,Brasseurs RJ,Stout - Imperial,regular
Archibald Désirée,Archibald - Microbrasserie (Labatt - AB InBev),Blonde Ale / Golden Ale,regular
Ras L'Bock Solution,Ras L'Bock - Artisans Brasseurs,IPA,regular
Dunham Saison Fleurs Sauvages Été,Brasserie Dunham,Saison / Farmhouse - Flavored,regular
Le Bilboquet La Coup de Canon,Le Bilboquet - Microbrasserie / Brasserie Olten,Stout - Flavored / Pastry,regular
Boréale Noirceur Impériale,Boréale - Brasseurs du Nord,Stout - Imperial Flavored / Pastry,series seasonal
Vox Populi Kettle Sour Brunch,Microbrasserie Vox Populi (Groupe Glutenberg),Berliner Weisse - Flavored / Catharina Sour,summer seasonal
Le Saint-Bock RIP,Le Saint-Bock Brasserie Artisanale,Porter - Imperial,special seasonal
Le Trèfle Noir O'Born Evil,Le Trèfle Noir - Brasserie Artisanale,Scotch Ale / Wee Heavy,regular
Dieu du Ciel! Pee Wee,Brasserie Dieu du Ciel!,ISA - Session IPA,regular
Boréale Antipode du Nord-Est,Boréale - Brasseurs du Nord,IPA,regular
Simple Malt Scotch Ale Réserve,Simple Malt - Brasseurs Illimités,Scotch Ale / Wee Heavy,regular
Kruhnen TPA Transylvanian Pale Ale,Brasserie Kruhnen,IPA,regular
Brasserie Urbaine S.I.R. Popov,Brasserie Générale - Brasserie Urbaine [BG / BG18],Stout - Imperial,regular
Dunham Viti Vini Vici 1: Cuvée de Coussergues,Brasserie Dunham,Sour / Wild Beer - Flavored,special seasonal
Le Trou du Diable La Bretteuse,Le Trou du Diable (Six Pints - Molson Coors),IPA,special seasonal
Dieu du Ciel! Saison Mile-End,Brasserie Dieu du Ciel!,Saison / Farmhouse / Grisette,regular
Shelton Stout Impérial,Bièrerie Shelton,Stout - Imperial,regular
Bas-Canada HYPA 10 X,Brasserie du Bas-Canada,IPA,regular
Charlevoix Session IPA,Microbrasserie Charlevoix,ISA - Session IPA,regular
Farnham Scotch Ale,Farnham - Ale & Lager (Canada),Scotch Ale / Wee Heavy,regular
Le Trou du Diable Le Purgatoire - Archéoporter,Le Trou du Diable (Six Pints - Molson Coors),Sour / Wild Beer,special seasonal
Dieu du Ciel! Wild Ultra,Brasserie Dieu du Ciel!,Sour / Wild Beer,regular
Simple Malt Vin d'Orge Réserve,Simple Malt - Brasseurs Illimités,Barley Wine / Wheat Wine / Rye Wine,regular
Glutenberg Blanche / White,Microbrasserie Glutenberg (Groupe Glutenberg),Witbier / Belgian White Ale,regular
Pit Caribou IIPA de la Sorcière V3,Microbrasserie Pit Caribou,IIPA DIPA - Imperial / Double IPA,regular
Helm Bernard,HELM - Microbrasserie sur Bernard,Pale Ale - American (APA),regular
La Memphré Saaz Pils,Microbrasserie La Memphré,Pilsener - Bohemian / Czech,regular
Pit Caribou Stout à l'Avoine,Microbrasserie Pit Caribou,Stout - Oatmeal,regular
Brouhaha Sergent Ripin,Broue Pub Brouhaha (Coop MaBrasserie),Saison / Farmhouse / Grisette,regular
Dunham Stout Impériale Russe - Vanille et Café (Bourbon),Brasserie Dunham,Stout - Imperial Flavored / Pastry,special seasonal
Le Bilboquet La Nelligan,Le Bilboquet - Microbrasserie / Brasserie Olten,Weissbier - Dunkelweizen,regular
Dieu du Ciel! Solstice d'Été aux Prunes,Brasserie Dieu du Ciel!,Berliner Weisse - Flavored / Catharina Sour,regular
Dieu du Ciel! Équinoxe du Printemps (Val Ambré),Brasserie Dieu du Ciel!,Scotch Ale / Wee Heavy,series seasonal
Dunham KeKriek,Brasserie Dunham,Flavored - Fruit,autumn seasonal
Dunham Rye ESB (Brett Trois),Brasserie Dunham,Bitter - Premium / Strong / Extra Special (ESB),regular
Sutton Brouërie Iroquois,Sutton Brouërie,Porter,regular
Broadway Sein d’Esprit Blanche - Hefeweizen,Broadway - Microbrasserie [BW],Weissbier - Hefeweizen,regular
Dieu du Ciel! / De La Senne Blanche Van de Plateau,Brasserie Dieu du Ciel!,Witbier / Belgian White Ale,regular
Le Naufrageur Léonne,Microbrasserie Le Naufrageur,Witbier / Belgian White Ale,regular
Dieu du Ciel! L'Exorciste (Sauternes),Brasserie Dieu du Ciel!,Sour / Wild Beer,regular
RJ N° 926,Brasseurs RJ,Belgian Ale - Pale / Golden / Single,regular
L'Espace Public Bière de Ruelle,L'Espace Public - Brasseurs de Quartier,Sour / Wild Beer,regular
Benelux Yakima,Benelux - Brasserie Artisanale / Brasserie du Canal,Pale Ale - American (APA),regular
La Fabrique Gros Chars,La Fabrique - Brasserie Artisanale (Canada),IPA,regular
Benelux Berlinoise,Benelux - Brasserie Artisanale / Brasserie du Canal,Berliner Weisse,regular
Simple Malt Galaxie,Simple Malt - Brasseurs Illimités,IPA - Black / Brown / Cascadian Dark,regular
De l'Île d'Orléans Françoise Lelièvre,Microbrasserie de l'Île d'Orléans (Haacht),Belgian Ale - Pale / Golden / Single,summer seasonal
Broadway Don Juan,Broadway - Microbrasserie [BW],Quadrupel / Abt,regular
Boréale Diversion,Boréale - Brasseurs du Nord,IIPA DIPA - Imperial / Double Hazy (NEIPA),regular
Emporium Goon,Emporium - Microbrasserie,IPA,regular
Benelux Gaïa,Benelux - Brasserie Artisanale / Brasserie du Canal,Witbier / Belgian White Ale,regular
Benelux La TrIBUnale 46,Benelux - Brasserie Artisanale / Brasserie du Canal,ISA - Session IPA,regular
Le Saint-Bock Black Jesus,Le Saint-Bock Brasserie Artisanale,IPA - Black / Brown / Cascadian Dark,regular
Dieu du Ciel! Cornemuse,Brasserie Dieu du Ciel!,Scotch Ale / Wee Heavy,regular
Benelux La Marge,Benelux - Brasserie Artisanale / Brasserie du Canal,Stout,regular
Gainsbourg Scotch Ale Wee Heavy - La Folle Écossaise,Gainsbourg - Bistro Brasserie,Scotch Ale / Wee Heavy,special seasonal
Le Refuge des Brasseurs Bunker,Le Refuge des Brasseurs,IPA,regular
Brasseurs du Monde L'Assoiffé 12,Brasseurs du Monde,Quadrupel / Abt,regular
Dieu du Ciel! Cascade Blanche,Brasserie Dieu du Ciel!,Witbier / Belgian White Ale,special seasonal
Noctem Oskar HMS Cossack,Noctem - Artisans Brasseurs,IPA - Hazy (NEIPA),regular
Les Grands Bois Impérial Gros Tigre,Les Grands Bois - Microbrasserie,ISA - Session IPA,regular
Broadway Saison Chardonnay,Broadway - Microbrasserie [BW],Saison / Farmhouse / Grisette,regular
HopEra Trizo,HopEra - Microbrasserie & Pizzeria,Tripel,regular
Broadway Élixir de Belphegor Barley Wine,Broadway - Microbrasserie [BW],Barley Wine / Wheat Wine / Rye Wine,regular
Brasseurs De Montréal La Québécoise Rebelle,Brasseur de Montréal (Six Pints - Molson Coors),Belgian Ale - Pale / Golden / Single,regular
Dunham Jane Doe - Assemblage Hors-Série  3,Brasserie Dunham,Sour Flemish Ale - Flanders Red / Oud Bruin,special seasonal
Bas-Canada Océanides,Brasserie du Bas-Canada,IIPA DIPA - Imperial / Double Hazy (NEIPA),regular
Sutton Brouërie Session Abenaki,Sutton Brouërie,ISA - Session IPA,regular
Dunham / Albion Ginnungagap,Brasserie Dunham,Old Ale,special seasonal
La Succursale Miláček,La Succursale - Brasserie Artisanale,Pilsener - Bohemian / Czech,regular
Dunham Jane Doe - Assemblage Hors-Série  6,Brasserie Dunham,Sour / Wild Beer - Flavored,special seasonal
Boréale Tropique Nord,Boréale - Brasseurs du Nord,IPA - Hazy (NEIPA),regular
Unibroue U Blonde,Unibroue (Sleeman - Sapporo),Pilsener / Pils / Pilsner,regular
Shelton Stout Impérial Choco-Café,Bièrerie Shelton,Stout - Imperial Flavored / Pastry,regular
Benelux Éponyme,Benelux - Brasserie Artisanale / Brasserie du Canal,Saison / Farmhouse / Grisette,special seasonal
La Voie Maltée La Malcommode,La Voie Maltée - Microbrasserie du Saguenay,Weissbier - Hefeweizen,regular
Albion Porter L'Ancêtre,Brasserie Artisanale Albion,Porter,regular
Le Castor Cerise,Microbrasserie Le Castor Brewing Co.,Sour / Wild Beer - Flavored,regular
St-Ambroise New England IPA,Brasserie McAuslan (Brasseurs RJ),IPA - Hazy (NEIPA),regular
La Voie Maltée La Graincheuse: Belge Forte,La Voie Maltée - Microbrasserie du Saguenay,Belgian Ale - Strong Dark,regular
Le Castor Fructus,Microbrasserie Le Castor Brewing Co.,Sour / Wild Beer - Flavored,regular
Brasseur de Montréal Barley Wine,Brasseur de Montréal (Six Pints - Molson Coors),Barley Wine / Wheat Wine / Rye Wine,regular
Messorem Double Fauche Alerte,Messorem Bracitorium,IIPA DIPA - Imperial / Double Hazy (NEIPA),regular
Les Trois Mousquetaires Pilsner,Les Trois Mousquetaires [LTM],Pilsener / Pils / Pilsner,regular
Noctem Oskar KMS Bismarck,Noctem - Artisans Brasseurs,IPA - Hazy (NEIPA),regular
Brasseur de Montréal Griffintown,Brasseur de Montréal (Six Pints - Molson Coors),Blonde Ale / Golden Ale,regular
RJ Canon,Brasseurs RJ,Bock - Doppelbock,regular
Belgh Brasse Mons Abbey Witte,Belgh Brasse (Groupe Geloso),Witbier / Belgian White Ale,regular
Dieu du Ciel! Hélium,Brasserie Dieu du Ciel!,Helles / Dortmunder Export,regular
La Voie Maltée La Gigonne,La Voie Maltée - Microbrasserie du Saguenay,Stout - Oatmeal,regular
Charlevoix Bootlegger ,Microbrasserie Charlevoix,Brown Ale,regular
Dunham 150 Pils,Brasserie Dunham,Pilsener / Pils / Pilsner,regular
Pit Caribou IIPA de la Sorcière V4,Microbrasserie Pit Caribou,IIPA DIPA - Imperial / Double IPA,regular
Des Beaux Prés Croix-Noire,Microbrasserie des Beaux Prés,Stout,regular
Dieu du Ciel! Nativité Blonde,Brasserie Dieu du Ciel!,Weissbier - Hefeweizen,regular
Boréale Lager,Boréale - Brasseurs du Nord,Pale Lager - International / Premium,regular
Hopfenstark Black Francis,Hopfenstark [Ho.st],Stout - Milk / Sweet,regular
Pit Caribou Provision Tennessee,Microbrasserie Pit Caribou,Saison / Farmhouse - Dark,regular
Bas-Canada Intemporel,Brasserie du Bas-Canada,IIPA DIPA - Imperial / Double IPA,regular
Boswell WCIPA West Coast IPA,Boswell - Brasserie Artisanale (Coop MaBrasserie),IPA,regular
L'Amère à Boire Odense Porter,Brasserie Artisanale L'Amère à Boire,Dark Lager - Dunkel / Tmavý,regular
Saint Arnould Périple,Microbrasserie Saint Arnould (Coop Brassicole des Laurentides),IPA,regular
Le Cheval Blanc Noire,Le Cheval Blanc - Brasseur Artisan & Bar,Stout - Milk / Sweet,regular
Riverbend Vin d'Orge,Riverbend - Microbrasserie,Barley Wine / Wheat Wine / Rye Wine,regular
Le Trou du Diable / Dieu du Ciel! Les Limbes,Le Trou du Diable (Six Pints - Molson Coors),Sour Flemish Ale - Flanders Red / Oud Bruin,special seasonal
À La Fût Kapibouska,À La Fût - Microbrasserie (Canada),Pale Ale - American (APA),regular
Charlevoix Au Fil du Temps,Microbrasserie Charlevoix,Saison / Farmhouse / Grisette,special seasonal
Dieu du Ciel! Méga Mosaika,Brasserie Dieu du Ciel!,IPA,regular
